date_c,open_c,high_c,low_c,close_c
1607299200000.0,19358.67,19420.91,18902.88,19166.9
1607385600000.0,19166.9,19294.84,18200.0,18324.11
1607472000000.0,18324.11,18639.57,17650.0,18541.28
1607558400000.0,18541.29,18557.32,17911.12,18254.63
1607644800000.0,18254.81,18292.73,17572.33,18036.53
1607731200000.0,18036.53,18948.66,18020.7,18808.69
1607817600000.0,18808.69,19411.0,18711.12,19174.99
1607904000000.0,19174.99,19349.0,19000.0,19273.14
1607990400000.0,19273.69,19570.0,19050.0,19426.43
1608076800000.0,19426.43,21560.0,19278.6,21335.52
1608163200000.0,21335.52,23800.0,21230.0,22797.16
1608249600000.0,22797.15,23285.18,22350.0,23107.39
1608336000000.0,23107.39,24171.47,22750.0,23821.61
1608422400000.0,23821.6,24295.0,23060.0,23455.52
1608508800000.0,23455.54,24102.77,21815.0,22719.71
1608595200000.0,22719.88,23837.1,22353.4,23810.79
1608681600000.0,23810.79,24100.0,22600.0,23232.76
1608768000000.0,23232.39,23794.43,22703.42,23729.2
1608854400000.0,23728.99,24789.86,23433.6,24712.47
1608940800000.0,24712.47,26867.03,24500.0,26493.39
1609027200000.0,26493.4,28422.0,25700.0,26281.66
1609113600000.0,26281.54,27500.0,26101.0,27079.41
1609200000000.0,27079.42,27410.0,25880.0,27385.0
1609286400000.0,27385.0,28996.0,27320.0,28875.54
1609372800000.0,28875.55,29300.0,27850.0,28923.63
1609459200000.0,28923.63,29600.0,28624.57,29331.69
1609545600000.0,29331.7,33300.0,28946.53,32178.33
1609632000000.0,32176.45,34778.11,31962.99,33000.05
1609718400000.0,33000.05,33600.0,28130.0,31988.71
1609804800000.0,31989.75,34360.0,29900.0,33949.53
1609891200000.0,33949.53,36939.21,33288.0,36769.36
1609977600000.0,36769.36,40365.0,36300.0,39432.28
1610064000000.0,39432.48,41950.0,36500.0,40582.81
1610150400000.0,40586.96,41380.0,38720.0,40088.22
1610236800000.0,40088.22,41350.0,35111.11,38150.02
1610323200000.0,38150.02,38264.74,30420.0,35404.47
1610409600000.0,35410.37,36628.0,32531.0,34051.24
1610496000000.0,34049.15,37850.0,32380.0,37371.38
1610582400000.0,37371.38,40100.0,36701.23,39144.5
1610668800000.0,39145.21,39747.76,34408.0,36742.22
1610755200000.0,36737.43,37950.0,35357.8,35994.98
1610841600000.0,35994.98,36852.5,33850.0,35828.61
1610928000000.0,35824.99,37469.83,34800.0,36631.27
1611014400000.0,36622.46,37850.0,35844.06,35891.49
1611100800000.0,35901.94,36415.31,33400.0,35468.23
1611187200000.0,35468.23,35600.0,30071.0,30850.13
1611273600000.0,30851.99,33826.53,28850.0,32945.17
1611360000000.0,32950.0,33456.0,31390.16,32078.0
1611446400000.0,32078.0,33071.0,30900.0,32259.9
1611532800000.0,32259.45,34875.0,31910.0,32254.2
1611619200000.0,32254.19,32921.88,30837.37,32467.77
1611705600000.0,32464.01,32557.29,29241.72,30366.15
1611792000000.0,30362.19,33783.98,29842.1,33364.86
1611878400000.0,33368.18,38531.9,31915.4,34252.2
1611964800000.0,34246.28,34933.0,32825.0,34262.88
1612051200000.0,34262.89,34342.69,32171.67,33092.98
1612137600000.0,33092.97,34717.27,32296.16,33526.37
1612224000000.0,33517.09,35984.33,33418.0,35466.24
1612310400000.0,35472.71,37662.63,35362.38,37618.87
1612396800000.0,37620.26,38708.27,36161.95,36936.66
1612483200000.0,36936.65,38310.12,36570.0,38290.24
1612569600000.0,38289.32,40955.51,38215.94,39186.94
1612656000000.0,39181.01,39700.0,37351.0,38795.69
1612742400000.0,38795.69,46794.45,37988.89,46374.87
1612828800000.0,46374.86,48142.19,44961.09,46420.42
1612915200000.0,46420.42,47310.0,43727.0,44807.58
1613001600000.0,44807.58,48678.9,43994.02,47969.51
1613088000000.0,47968.66,48985.8,46125.0,47287.6
1613174400000.0,47298.15,48150.0,46202.53,47153.69
1613260800000.0,47156.78,49707.43,47014.17,48577.79
1613347200000.0,48580.47,49010.92,45570.79,47911.1
1613433600000.0,47911.1,50689.18,47003.62,49133.45
